	V1	V2	V3	V4	accession
B11DIV316	0.0215	0.0119	0.0024	-0.0003	Cultivar
B11DIV096	0.0214	0.011	0.0032	-0.0002	Cultivar
B11DIV296	0.0204	0.0104	0.0006	0.0049	Cultivar
B11SA1181	0.0214	0.0115	0.0016	0.0018	Cultivar
B11DIV007	0.0202	0.0099	0.0007	0.0058	Cultivar
B11SA3193	0.0211	0.0103	0.0025	0.0073	Cultivar
B11DIV226	0.0205	0.011	0.0031	0.0042	Cultivar
P111Maxxa	0.0225	0.0114	-0.0015	-0.0066	Cultivar
B11DIV059	0.0211	0.0097	-0.0008	0.0037	Cultivar
P112AU	0.023	0.0114	-0.002	-0.0088	Cultivar
B11DIV380	0.0217	0.0116	0.0018	0.0016	Cultivar
B11SA3781	0.0214	0.0104	0.002	0.0043	Cultivar
B11SA1913	0.0212	0.0103	0.0012	0.0016	Cultivar
B11SA2330	0.02	0.0081	-0.0001	0.0058	Cultivar
B11DIV363	0.0194	0.0089	-0.0005	0.0085	Cultivar
B11SA3284	0.0205	0.0042	-0.0041	-0.004	Cultivar
P115HU130	0.0185	-0.0028	-0.0028	-0.0006	Cultivar
B11SA3256	0.0208	0.0105	0.0025	0.0025	Cultivar
P115HAU223	0.0192	0.0085	0.0009	0.0023	Cultivar
P115HAU091	0.0203	0.0119	-0.0011	-0.0073	Cultivar
P115HAU186	0.0203	0.0108	-0.0005	-0.0019	Cultivar
P115HAU224	0.0198	0.0083	0.004	0.0069	Cultivar
P115HU131	0.0203	0.0102	-0.0002	-0.0088	Cultivar
P115HAU254	0.0193	0.0107	0.0018	0.0045	Cultivar
P115HAU225	0.0187	0.0077	0.0038	0.0111	Cultivar
P115HAU179	0.0184	0.0062	0.0022	0.0078	Cultivar
P115HAU212	0.0186	0.0088	0.0007	0.009	Cultivar
P115HAU202	0.0186	-0.0034	-0.0022	-0.0053	Cultivar
P115HAU116	0.0184	-0.006	-0.001	0.0095	Cultivar
P115HAU039	0.0202	-0.0024	-0.0027	-0.0102	Cultivar
P115HAU034	0.0187	-0.0019	-0.0044	-0.0101	Cultivar
P115HAU037	0.019	0.0092	-0.0002	0.0028	Cultivar
P115HAU040	0.0171	0.007	0.0016	0.0093	Cultivar
P115HAU017	0.0193	0.0075	-0.0005	-0.0031	Cultivar
P115HAU264	0.0198	0.0103	-0.0002	0.0024	Cultivar
P115HAU263	0.0202	0.0085	0.0014	-0.0008	Cultivar
P115HAU231	0.0198	0.0078	0.0007	-0.0031	Cultivar
B11SA3452	0.0142	-0.0037	0.0008	0.0257	Cultivar
B11SA1403	0.0202	0.0094	0.0028	0.0103	Cultivar
B11SA1406	0.0198	0.0081	0.0036	0.0125	Cultivar
B11SA1392	0.0203	0.0096	0.0043	0.0117	Cultivar
B11DIV355	0.0203	0.0096	0.0043	0.0119	Cultivar
P117XLZ42	0.0197	0.0072	0.0012	0.0082	Cultivar
P115HAU258	0.0197	0.0081	0.0017	0.0026	Cultivar
P115HAU257	0.0202	0.0075	0.0008	0.0007	Cultivar
P115HAU228	0.0207	0.0097	-0.0007	-0.0023	Cultivar
P115HAU229	0.0196	0.0079	0.0012	0.0071	Cultivar
P115HAU033	0.017	0.002	0.0025	0.0162	Cultivar
P115HAU251	0.0173	0.0019	0.0024	0.0171	Cultivar
P115HAU203	0.0197	-0.0023	-0.003	-0.012	Cultivar
B11SA3338	0.0203	-0.0037	-0.0053	-0.0053	Cultivar
P115HAU098	0.0205	0.0116	-0.0008	-0.0085	Cultivar
P115HAU169	0.0214	0.011	0	-0.0107	Cultivar
P113Zh9807	0.0236	0.0135	-0.0025	-0.016	Cultivar
P115HAU097	0.0218	0.0123	-0.0021	-0.0105	Cultivar
P115HAU093	0.0209	0.0112	0.0016	0.0015	Cultivar
P113Zh9612	0.0238	0.0139	-0.0006	-0.015	Cultivar
P113CRI12	0.0239	0.014	-0.0006	-0.0156	Cultivar
P115HAU074	0.0202	0.0096	-0.0002	-0.0019	Cultivar
P115HAU167	0.0181	0.0084	0.0003	-0.0022	Cultivar
P115HAU012	0.0186	0.0069	0.0018	0.0048	Cultivar
P115HAU132	0.0191	0.0087	0.0017	0.007	Cultivar
P115HAU171	0.0194	0.0077	0.0026	0.0034	Cultivar
P115HAU182	0.0198	0.0081	0.0031	0.0005	Cultivar
P115HAU168	0.0198	0.0089	0.0026	-0.0012	Cultivar
P115HAU157	0.022	0.0123	-0.0023	-0.0119	Cultivar
P115HAU206	0.0221	0.0133	-0.0025	-0.0156	Cultivar
P115HAU252	0.0225	0.0128	-0.0032	-0.0153	Cultivar
P115HAU007	0.0219	0.0124	-0.0002	-0.0101	Cultivar
P115HAU094	0.0225	0.0134	-0.0024	-0.0108	Cultivar
P115HAU175	0.0224	0.0139	-0.0047	-0.0181	Cultivar
P115HAU170	0.0202	0.0094	-0.0008	-0.0069	Cultivar
P115HAU245	0.0221	0.0131	-0.0042	-0.0184	Cultivar
P115HAU204	0.0209	0.0102	-0.0009	-0.0106	Cultivar
P115HAU025	0.0204	0.0109	-0.0012	-0.0068	Cultivar
P115HAU232	0.0198	0.0084	0.0018	-0.0153	Cultivar
P115HAU262	0.0212	0.0122	-0.0026	-0.0129	Cultivar
P115HAU266	0.0204	0.0093	-0.0004	-0.0059	Cultivar
P115HAU156	0.0197	0.0108	-0.0008	-0.0033	Cultivar
P115HAU013	0.0194	0.0099	-0.0009	-0.0018	Cultivar
P115HAU135	0.022	0.0128	-0.0009	-0.0076	Cultivar
P115HAU011	0.0229	0.0131	-0.0029	-0.0139	Cultivar
P115HAU173	0.0219	0.0111	-0.0025	-0.0127	Cultivar
P115HAU227	0.0226	0.0122	-0.0023	-0.0135	Cultivar
B11SA1420	0.0198	0.0106	0.0007	0.0077	Cultivar
P115HAU255	0.0192	0.0088	-0.0009	0.005	Cultivar
P115HAU183	0.0208	0.0113	-0.0003	-0.0028	Cultivar
P115HAU014	0.02	0.0102	-0.0001	-0.004	Cultivar
P115HAU184	0.0201	0.0089	0.0013	-0.006	Cultivar
P115HAU127	0.021	0.0116	-0.0033	-0.0137	Cultivar
P115HAU016	0.0213	0.0116	-0.0017	-0.0145	Cultivar
P115HAU128	0.0227	0.0143	-0.0038	-0.0201	Cultivar
P115HAU172	0.0234	0.0144	-0.0033	-0.0199	Cultivar
P115HAU247	0.0216	0.0007	-0.0074	-0.0236	Cultivar
P115HAU240	0.0223	0.0104	-0.001	-0.0102	Cultivar
P115HAU249	0.0201	0.0089	-0.0019	-0.0056	Cultivar
P115HAU036	0.0212	0.0104	-0.0005	-0.0062	Cultivar
P115HAU032	0.0212	0.0101	-0.0003	-0.0065	Cultivar
P115HAU226	0.0208	0.0099	-0.0001	-0.0079	Cultivar
P115HAU242	0.0217	0.0104	0.0004	-0.0085	Cultivar
P115HAU092	0.0223	0.0107	-0.0011	-0.0092	Cultivar
P115HAU009	0.0186	0.0059	0.0005	0.0043	Cultivar
P115HAU253	0.0218	0.0106	-0.0009	-0.0114	Cultivar
P115HAU261	0.0204	0.0106	-0.0033	-0.0104	Cultivar
P115HAU100	0.0211	0.0099	-0.001	-0.0088	Cultivar
P115HAU099	0.0212	0.0098	-0.0009	-0.0069	Cultivar
P115HAU246	0.0222	0.0009	-0.0058	-0.0214	Cultivar
P115HAU189	0.0215	0.0126	-0.0032	-0.0141	Cultivar
P115HAU210	0.0217	0.0128	-0.0022	-0.013	Cultivar
P115HAU207	0.0209	0.0124	-0.0031	-0.0127	Cultivar
P115HAU174	0.022	0.0129	-0.0034	-0.0161	Cultivar
P115HAU056	0.021	0.0001	-0.0042	-0.0168	Cultivar
P115HAU151	0.0209	0.0049	-0.0033	-0.0073	Cultivar
P115HAU142	0.0212	0.0036	-0.0038	-0.0122	Cultivar
P115HAU125	0.0223	0.0143	-0.0036	-0.0154	Cultivar
P115HAU216	0.0218	0.0126	-0.0014	-0.0136	Cultivar
P113CRI35	0.0229	0.0135	-0.0028	-0.0145	Cultivar
P113XY9648	0.0217	0.0123	-0.001	-0.0076	Cultivar
P113KHW164	0.0216	0.0122	-0.0006	-0.0062	Cultivar
P115HAU234	0.0225	0.0134	-0.0025	-0.0179	Cultivar
P115HAU235	0.0215	0.0119	-0.004	-0.0148	Cultivar
P115HAU205	0.023	0.0134	-0.0043	-0.0198	Cultivar
P115HAU002	0.0229	0.0136	-0.002	-0.0122	Cultivar
P115HAU019	0.0198	0.0081	0.0009	-0.0008	Cultivar
P115HAU102	0.021	0.0109	-0.0008	-0.0047	Cultivar
P115HAU115	0.0231	0.0134	-0.0033	-0.0125	Cultivar
P117SiM2	0.0238	0.0143	-0.0036	-0.0174	Cultivar
P115HAU069	0.0236	0.0133	-0.0017	-0.0134	Cultivar
P115HAU215	0.0226	0.0017	-0.0071	-0.0265	Cultivar
P115HAU139	0.0225	0.002	-0.0074	-0.028	Cultivar
P115HAU051	0.0218	0.0128	-0.0035	-0.016	Cultivar
P115HAU160	0.0222	0.0125	-0.0013	-0.0126	Cultivar
P115HAU211	0.0221	0.0128	-0.0024	-0.0137	Cultivar
P115HAU239	0.0221	0.0123	-0.0017	-0.0155	Cultivar
B11SA1419	0.0217	0.0116	0.0009	0.0022	Cultivar
P115HAU073	0.0227	0.0132	-0.0021	-0.0163	Cultivar
P115HAU220	0.0222	0.013	-0.001	-0.0166	Cultivar
P115HAU022	0.0228	0.0137	-0.0043	-0.017	Cultivar
P115HAU063	0.0228	0.0134	-0.0045	-0.0203	Cultivar
P115HAU084	0.0231	0.0022	-0.0081	-0.0294	Cultivar
P115HAU243	0.0232	0.015	-0.0044	-0.0226	Cultivar
P113JinM20	0.0237	0.0144	-0.0041	-0.02	Cultivar
P115HAU065	0.0231	0.0136	-0.0042	-0.019	Cultivar
P115HAU200	0.0225	0.0134	-0.0042	-0.0167	Cultivar
P115HAU107	0.0214	0.0127	-0.004	-0.016	Cultivar
P115HAU029	0.0224	0.0137	-0.0035	-0.0194	Cultivar
P117CIR12	0.0242	0.0154	-0.0034	-0.0214	Cultivar
P115HAU066	0.0229	0.0142	-0.0026	-0.0214	Cultivar
P115HAU190	0.0236	0.0149	-0.0034	-0.023	Cultivar
P115HAU030	0.0227	0.0145	-0.0032	-0.0226	Cultivar
P113YuM11	0.0242	0.0152	-0.0038	-0.0236	Cultivar
P115HAU006	0.0223	0.0137	-0.0034	-0.0204	Cultivar
P115HAU005	0.0225	0.0139	-0.0033	-0.0205	Cultivar
P117SY321	0.0238	0.014	-0.0034	-0.0189	Cultivar
P115HAU122	0.0235	0.014	-0.0037	-0.0204	Cultivar
P115HAU188	0.0218	0.0132	-0.0026	-0.0192	Cultivar
P115HAU194	0.0228	0.0145	-0.0033	-0.0206	Cultivar
P115HAU250	0.0225	0.0133	-0.0032	-0.0192	Cultivar
P113Zh571	0.0237	0.0139	-0.0031	-0.0184	Cultivar
P115HAU087	0.0227	0.0143	-0.0038	-0.0229	Cultivar
P115HAU020	0.0217	0.0135	-0.0035	-0.0217	Cultivar
P115HAU214	0.0233	0.0145	-0.003	-0.0198	Cultivar
P115HAU001	0.022	0.0118	-0.0016	-0.0128	Cultivar
P115HAU101	0.0215	0.0012	-0.0059	-0.0224	Cultivar
P115HAU129	0.021	0.0125	-0.0038	-0.0167	Cultivar
P117C86	0.0241	0.0142	-0.003	-0.0174	Cultivar
P115HAU064	0.0225	0.013	-0.0031	-0.0182	Cultivar
P115HAU082	0.0231	0.0143	-0.0034	-0.0188	Cultivar
P115HU268	0.0221	0.0143	-0.0035	-0.021	Cultivar
P115HAU269	0.0243	0.0152	-0.0038	-0.0218	Cultivar
P115HAU059	0.0236	0.0153	-0.0038	-0.0242	Cultivar
P115HAU060	0.0229	0.0146	-0.0037	-0.0215	Cultivar
P115HAU237	0.0231	0.0141	-0.0046	-0.0214	Cultivar
P115HAU114	0.02	0.0089	-0.0019	-0.0085	Cultivar
P115HAU061	0.0218	0.0005	-0.0072	-0.0237	Cultivar
P115HAU095	0.0227	0.0145	-0.0039	-0.0233	Cultivar
P115HAU222	0.0223	0.013	-0.0023	-0.0169	Cultivar
P115HAU209	0.0221	0.0131	-0.0019	-0.0178	Cultivar
P115HAU244	0.0229	0.0138	-0.0031	-0.0194	Cultivar
P115HAU241	0.0223	0.0137	-0.0034	-0.0203	Cultivar
P115HAU015	0.0229	0.0141	-0.0035	-0.0206	Cultivar
P115HAU021	0.0227	0.0141	-0.0045	-0.0231	Cultivar
P117JunM1	0.0244	0.0152	-0.0039	-0.0218	Cultivar
P115HAU057	0.0222	0.0141	-0.0037	-0.0232	Cultivar
P115HAU138	0.0226	0.0134	-0.0034	-0.018	Cultivar
P115HAU147	0.0233	0.0137	-0.0034	-0.0168	Cultivar
P115HAU088	0.0225	0.014	-0.0042	-0.0197	Cultivar
P115HAU078	0.0218	0.0019	-0.0077	-0.0294	Cultivar
P115HAU198	0.022	-0.0002	-0.0076	-0.0243	Cultivar
P115HAU149	0.0206	-0.0019	-0.0052	-0.0178	Cultivar
P117DP15	0.0236	0.0016	-0.009	-0.0302	Cultivar
P115HAU197	0.0218	-0.0016	-0.0052	-0.0198	Cultivar
P115HAU267	0.0222	0.0005	-0.0078	-0.025	Cultivar
B11SA0300	0.0228	0.0002	-0.0088	-0.0233	Cultivar
B11DIV106	0.0227	-0.0001	-0.0091	-0.0219	Cultivar
P115HAU081	0.023	0.0152	-0.0046	-0.0237	Cultivar
P115HAU161	0.0207	-0.0015	-0.006	-0.0197	Cultivar
P115HAU178	0.0214	0.013	-0.0047	-0.0162	Cultivar
P115HAU041	0.0219	-0.0001	-0.007	-0.0238	Cultivar
P115HAU003	0.0214	0.0134	-0.0042	-0.015	Cultivar
P115HAU221	0.0224	0.0136	-0.0029	-0.0182	Cultivar
P115HAU083	0.0223	0.0143	-0.0036	-0.0147	Cultivar
P115HAU010	0.0209	0.0005	-0.0063	-0.0173	Cultivar
P115HAU058	0.0209	0.0001	-0.0062	-0.016	Cultivar
P115HAU054	0.0226	0.0013	-0.0081	-0.0262	Cultivar
P115HAU053	0.022	0.002	-0.0067	-0.0271	Cultivar
P117J8891	0.0188	0.0111	-0.0033	-0.0157	Cultivar
P117SiM3	0.0232	0.0132	-0.0033	-0.0155	Cultivar
P115HAU008	0.0221	0.0007	-0.0073	-0.025	Cultivar
P115HAU052	0.0229	0.0006	-0.0058	-0.0257	Cultivar
P115HAU055	0.0216	0.0002	-0.0055	-0.0244	Cultivar
P115HAU046	0.0214	0	-0.007	-0.0224	Cultivar
P115HAU045	0.021	0.0118	-0.0019	-0.0099	Cultivar
P115HAU048	0.0218	0.0128	-0.0043	-0.0155	Cultivar
P115HAU260	0.0223	0.0129	-0.003	-0.0156	Cultivar
P115HAU199	0.0223	0.003	-0.0078	-0.0288	Cultivar
B11SA3348	0.0225	-0.0008	-0.0074	-0.0169	Cultivar
B11SA2269	0.0214	-0.0036	-0.0066	-0.008	Cultivar
P114TM1	0.0239	0.0013	-0.0085	-0.0284	Cultivar
P111TM1	0.024	0.0013	-0.0085	-0.0289	Cultivar
P115HAU148	0.0226	0.0083	-0.0038	-0.018	Cultivar
P115HAU140	0.0225	0.0044	-0.0046	-0.0195	Cultivar
P115HAU145	0.0223	0.012	-0.0032	-0.0135	Cultivar
P115HAU154	0.0226	0.0124	-0.0035	-0.0148	Cultivar
P115HAU146	0.0225	0.0131	-0.003	-0.0164	Cultivar
P115HAU155	0.0233	0.0135	-0.0029	-0.0166	Cultivar
P111SL542	0.0242	0.0151	-0.0046	-0.0232	Cultivar
P115HAU027	0.0206	0.0006	-0.0068	-0.022	Cultivar
P115HAU050	0.0217	0.0131	-0.0044	-0.0216	Cultivar
P115HAU077	0.0225	0.0149	-0.0026	-0.0201	Cultivar
P115HAU120	0.0215	0.0127	-0.0006	-0.0116	Cultivar
P115HAU038	0.0216	0.0124	-0.0029	-0.0105	Cultivar
P115HAU068	0.0222	0.0114	-0.0019	-0.0123	Cultivar
B11DIV195	0.0221	0.0126	-0.0018	-0.007	Cultivar
P111240RNR	0.0229	0.0132	-0.0021	-0.0159	Cultivar
B11SA2401	0.0212	0.0113	-0.0026	-0.0036	Cultivar
P115HU141	0.0217	0.0036	-0.0041	-0.0152	Cultivar
P113XT6871	0.0244	0.0143	-0.0023	-0.0176	Cultivar
P115HAU150	0.0227	0.0078	-0.0039	-0.0165	Cultivar
P115HAU062	0.0229	0.0132	-0.0038	-0.0178	Cultivar
P115HAU236	0.0226	0.0134	-0.0049	-0.0203	Cultivar
B11SA1412	0.0218	0.0108	-0.0029	-0.0045	Cultivar
P117CIR7	0.0227	-0.0005	-0.0082	-0.0227	Cultivar
B11DIV260	0.0227	0.013	-0.0023	-0.01	Cultivar
P111FM832	0.0227	0.0118	0.0006	-0.0102	Cultivar
B11SA1330	0.0204	0.011	-0.0026	-0.0005	Cultivar
P115HAU075	0.0216	0.0125	-0.0033	-0.0156	Cultivar
P115HAU024	0.0215	0.013	-0.0039	-0.0157	Cultivar
P113JiM11	0.0233	0.0135	-0.0028	-0.0154	Cultivar
P115HAU238	0.0236	0.0141	-0.0038	-0.0231	Cultivar
P116SuM12	0.0223	0.0139	-0.0035	-0.0221	Cultivar
P113YM2067	0.0236	0.0145	-0.0023	-0.0184	Cultivar
P115HAU067	0.0227	0.0134	-0.0008	-0.0159	Cultivar
P113CM47	0.0241	0.0153	-0.0032	-0.0209	Cultivar
P115HAU004	0.0229	0.0129	-0.0034	-0.0176	Cultivar
P115HAU031	0.0232	0.0138	-0.0033	-0.0181	Cultivar
P115HAU177	0.0225	0.0138	-0.0034	-0.0195	Cultivar
P115HAU109	0.0235	0.0004	-0.0055	-0.0245	Cultivar
P115HAU080	0.0213	0.0125	-0.004	-0.0172	Cultivar
B11SA2149	0.0152	-0.0092	0.0016	0.0167	Cultivar
P115HAU191	0.023	0.0148	-0.0028	-0.02	Cultivar
P115HAU193	0.0236	0.0154	-0.0026	-0.021	Cultivar
P115HAU195	0.0227	0.014	-0.0039	-0.0213	Cultivar
P115HAU256	0.0221	0.0123	-0.002	-0.0169	Cultivar
P115HAU111	0.0227	0.0128	-0.0043	-0.0177	Cultivar
P115HAU028	0.0225	0.012	-0.0026	-0.01	Cultivar
P113LuM378	0.0236	0.0131	-0.003	-0.0155	Cultivar
P113ShuoM3	0.0239	0.0134	-0.0021	-0.0168	Cultivar
P115HAU192	0.0229	0.0135	-0.0023	-0.0178	Cultivar
P115HAU042	0.0218	0.0124	-0.0029	-0.0151	Cultivar
P115HAU086	0.0226	0	-0.0066	-0.0229	Cultivar
P115HAU049	0.0209	-0.0005	-0.0066	-0.0182	Cultivar
P115HAU219	0.0232	0.0133	-0.0029	-0.0165	Cultivar
P115HAU136	0.0218	0.0126	-0.0039	-0.0166	Cultivar
P112DP90	0.0233	0.0135	-0.0033	-0.0152	Cultivar
B11SA2192	0.0162	0.0016	0.0058	0.0139	Cultivar
P111DP5690	0.0218	0.0113	-0.0021	-0.0062	Cultivar
P115HAU103	0.0234	0.0146	-0.0028	-0.0188	Cultivar
P115HAU026	0.0208	0.0118	-0.0039	-0.0147	Cultivar
P115HAU265	0.0229	0.0141	-0.003	-0.0192	Cultivar
P115HAU281	0.0224	0.0136	-0.0022	-0.0153	Cultivar
P113GK50	0.0238	0.0155	-0.0015	-0.02	Cultivar
P115HAU153	0.023	0.014	-0.0031	-0.0177	Cultivar
P115HAU144	0.0223	0.0139	-0.003	-0.0189	Cultivar
P113ZhZhM2	0.024	0.0158	-0.002	-0.0213	Cultivar
P115HAU187	0.023	0.0152	-0.0023	-0.0213	Cultivar
P115HAU259	0.0233	0.0152	-0.0021	-0.0204	Cultivar
P115HAU096	0.0224	0.0147	-0.0024	-0.0213	Cultivar
P115HU089	0.0228	0.0149	-0.0024	-0.0213	Cultivar
P115HAU201	0.0226	0.0149	-0.0021	-0.0206	Cultivar
P115HAU158	0.0216	0.0144	-0.0019	-0.0203	Cultivar
P115HAU143	0.0221	0.0128	-0.0013	-0.011	Cultivar
P115HAU152	0.0215	0.0124	-0.0014	-0.0112	Cultivar
P115HAU118	0.0218	0.014	-0.0045	-0.0192	Cultivar
P115HAU035	0.023	0.0141	-0.0035	-0.0192	Cultivar
P115HAU076	0.0223	0.014	-0.0035	-0.0212	Cultivar
P115HAU134	0.0218	0.0124	-0.0019	-0.0163	Cultivar
P115HAU272	0.0229	0.0002	-0.0063	-0.0224	Cultivar
P113LuMY16	0.0239	0.0135	-0.0012	-0.0165	Cultivar
P115HAU108	0.0224	0.0125	-0.002	-0.0153	Cultivar
B11DIV176	0.0229	0.0125	-0.002	-0.0102	Cultivar
B11DIV144	0.0222	0.0116	-0.0016	-0.0049	Cultivar
P112FM966	0.0233	0.0104	-0.0013	-0.0173	Cultivar
B11DIV307	0.0222	0.0117	-0.0028	-0.008	Cultivar
B11SA1604	0.0213	0.0114	0.0009	0.0014	Cultivar
B11DIV042	0.0227	0.0127	-0.0015	-0.0094	Cultivar
B11SA1465	0.022	0.0116	-0.0026	-0.0065	Cultivar
P115HAU023	0.0226	0.013	-0.0044	-0.0158	Cultivar
B11SA2910	0.0208	0.0104	-0.0032	0.0005	Cultivar
B11SA3137	0.022	0.0117	-0.0008	-0.0036	Cultivar
P116Cok139	0.0227	0.0128	-0.0027	-0.0139	Cultivar
P114SA1466	0.0233	0.0118	-0.0028	-0.0146	Cultivar
P112PSC355	0.0238	0.0123	-0.0022	-0.0138	Cultivar
P115HAU218	0.0212	0.0124	-0.0031	-0.017	Cultivar
P111SG747	0.0242	0.0135	-0.0023	-0.0167	Cultivar
P115HU117	0.0232	0.0139	-0.0028	-0.0197	Cultivar
P111ST474	0.0246	0.0145	-0.003	-0.0208	Cultivar
B11SA3749	0.0233	0.013	-0.0023	-0.0111	Cultivar
B11SA3748	0.0232	0.0127	-0.0015	-0.0088	Cultivar
P112ST825	0.0247	0.015	-0.0019	-0.0216	Cultivar
