Sample	Category
GB618-2	Wild
NCM14-31	Wild
AD3-14	
AD3_23	
AD3_25	
AD3-26	
AD3-7	
ISU1012	
AD4_10	
AD4-16	
AD4-W400	
PI341095	
AD5-2	
AD5_CB3087	
AD5_PW45	
ISU1009	
ISU1021	
TX_2265	
TX_2266	
TX2273	
A2D1	
A2D3	
DP5690	Cultivar
Maxxa	Cultivar
TX_2094	Wild
Coker_312	Cultivar
FM832	Cultivar
MS240	Cultivar
PD1	Cultivar
Sealand-542	Cultivar
SG747	Cultivar
ST474	Cultivar
Tamcot_Sphinx	Cultivar
TM1	Cultivar
TX321	Wild
GB67	Wild
GB74	Wild
GB236	Cultivar
GB287	Wild
GB319	Wild
GB362	Wild
GB369	Wild
GB385	Wild
GB398	Wild
GB411	Wild
GB414	Wild
GB427	Wild
GB618	Wild
DP340	Cultivar
Phy76	Cultivar
AD3	
AD4	
AD5	
AD6_TX_2263	
AD7	
AD7_Pearl1B	
SRR1534950	Cultivar
AcalaUltima	Cultivar
Coker315	Cultivar
DP90	Cultivar
FM966	Cultivar
PSC355	Cultivar
STV825	Cultivar
TamcotPyramid	Cultivar
Als-MU	Mutant
Als-WT	Cultivar
F1_1	
Im-MU	Mutant
Im-WT	Cultivar
Li2-MU	Mutant
Li2-WT	Cultivar
SRR5279197	Cultivar
SRR5279198	Cultivar
SRR5279199	Cultivar
SRR5279200	Cultivar
SRR5279201	Cultivar
SRR5279202	Cultivar
SRR5279203	Cultivar
SRR5279204	Cultivar
SRR5279205	Cultivar
SRR5279206	Cultivar
SRR5279207	Cultivar
SRR5279208	Cultivar
SRR5279209	Cultivar
SRR5279210	Cultivar
SRR5279211	Cultivar
SRR5279212	Cultivar
SRR5279213	Cultivar
SRR5279214	Cultivar
SRR5279215	Cultivar
SRR5279216	Cultivar
SAMN04998798	
SAMN04998799	
SAMN04998800	
SAMN04998801	
SAMN04998802	Cultivar
SAMN04998803	Cultivar
SAMN04998804	Cultivar
SAMN04998805	Cultivar
SAMN04998806	Wild
SAMN04998807	Wild
SAMN04998808	Wild
SAMN04998809	Wild
SAMN04998810	Cultivar
SAMN04998811	Wild
SAMN04998812	Wild
SAMN04998813	Wild
SAMN04998814	Wild
SAMN04998815	Wild
SAMN04998816	Wild
SAMN04998817	Wild
SAMN04998818	Wild
SAMN04998819	Wild
SAMN04998820	Wild
SRR4003068	Cultivar
SRR4003074	Cultivar
SRR4003080	Cultivar
SRR4003086	Cultivar
SRR4003095	Cultivar
SRR3999446	Cultivar
SRR4003140	Cultivar
SRR4003147	Cultivar
SRR4003153	Cultivar
SRR4003159	Cultivar
SRR4003165	Cultivar
SRR4003171	Cultivar
SRR4003178	Cultivar
SRR4003183	Cultivar
SRR4003189	Cultivar
SRR4006034	Cultivar
SRR4006035	Cultivar
SRR4006036	Cultivar
SRR4006037	Cultivar
SRR4006038	Cultivar
SRR4006039	Cultivar
SRR4006040	Cultivar
SRR4006041	Cultivar
SRR4006042	Cultivar
SRR4006157	Cultivar
SRR4006659	Cultivar
SRR4006660	Cultivar
SRR4006661	Cultivar
SRR4006662	Cultivar
SRR4006663	Cultivar
SRR4006664	Cultivar
SRR4006665	Cultivar
SRR4006667	Cultivar
SRR4006668	Cultivar
SRR4006669	Cultivar
SRR4006670	Cultivar
SRR4006671	Cultivar
SRR4006672	Cultivar
SRR4006673	Cultivar
SRR4006674	Cultivar
SRR4006675	Cultivar
SRR4006676	Cultivar
SRR4006677	Cultivar
SRR4006678	Cultivar
SRR4006679	Cultivar
SRR4006680	Cultivar
SRR4008910	Cultivar
SRR4006681	Cultivar
SRR4006682	Cultivar
SRR4006683	Cultivar
SRR4006684	Cultivar
SRR4006685	Cultivar
SRR4006686	Cultivar
SRR4006687	Cultivar
SRR4006688	Cultivar
SRR3999444	Cultivar
SRR4006689	Cultivar
SRR4006690	Cultivar
SRR4006691	Cultivar
SRR4006692	Cultivar
SRR4006693	Cultivar
SRR4006694	Cultivar
SRR4006695	Cultivar
SRR4006696	Cultivar
SRR4006697	Cultivar
SRR4006698	Cultivar
SRR4006699	Cultivar
SRR4006701	Cultivar
SRR4006702	Cultivar
SRR4006703	Cultivar
SRR4006704	Cultivar
SRR4006705	Cultivar
SRR4006706	Cultivar
SRR4006707	Cultivar
SRR4006709	Cultivar
SRR4006710	Cultivar
SRR4006711	Cultivar
SRR4006712	Cultivar
SRR4006715	Cultivar
SRR4006716	Cultivar
SRR4006718	Cultivar
SRR4006719	Cultivar
SRR4006720	Cultivar
SRR4006721	Cultivar
SRR4006722	Cultivar
SRR4006723	Cultivar
