Sample	Category
SRS2168300	Cultivar
SRS2168301	Cultivar
SRS2168302	Cultivar
SRS2168303	Cultivar
SRS2168306	Cultivar
SRS2168304	Cultivar
SRS2168305	Cultivar
SRS2168307	Cultivar
SRS2168308	Cultivar
SRS2168337	Cultivar
SRS2168310	Cultivar
SRS2168309	Cultivar
SRS2168311	Cultivar
SRS2168312	Cultivar
SRS2168313	Cultivar
SRS2168314	Cultivar
SRS2168315	Cultivar
SRS2168316	Cultivar
SRS2168317	Cultivar
SRS2168318	Cultivar
SRS2168319	Cultivar
SRS2168320	Cultivar
SRS2168321	Cultivar
SRS2168322	Cultivar
SRS2168323	Cultivar
SRS2168324	Cultivar
SRS2168325	Cultivar
SRS2168326	Cultivar
SRS2168327	Cultivar
SRS2168328	Cultivar
SRS2168329	Cultivar
SRS2168330	Cultivar
SRS2168331	Cultivar
SRS2168332	Cultivar
SRS2168333	Cultivar
SRS2168334	Cultivar
SRS2168335	Cultivar
SRS2168336	Cultivar
SRS2168338	Cultivar
SRS2168339	Cultivar
SRS2168340	Cultivar
SRS2168341	Cultivar
SRS2168342	Cultivar
SRS2168343	Cultivar
SRS2168344	Cultivar
SRS2168345	Cultivar
SRS2168346	Cultivar
SRS2168347	Cultivar
SRS2168349	Cultivar
SRS2168348	Cultivar
SRS2168350	Cultivar
SRS2168351	Cultivar
SRS2168352	Cultivar
SRS2168353	Cultivar
SRS2168354	Cultivar
SRS2168357	Cultivar
SRS2168355	Cultivar
SRS2168356	Cultivar
SRS2168358	Cultivar
SRS2168359	Cultivar
SRS2168360	Cultivar
SRS2168362	Cultivar
SRS2168361	Cultivar
SRS2168363	Cultivar
SRS2168364	Cultivar
SRS2168365	Cultivar
SRS2168366	Cultivar
SRS2168367	Cultivar
SRS2168368	Cultivar
SRS2168369	Cultivar
SRS2168370	Cultivar
SRS2168371	Cultivar
SRS2168372	Cultivar
SRS2168373	Cultivar
SRS2168374	Cultivar
SRS2168375	Cultivar
SRS2168376	Cultivar
SRS2168377	Cultivar
SRS2168378	Cultivar
SRS2168379	Cultivar
SRS2168380	Cultivar
SRS2168381	Cultivar
SRS2168382	Cultivar
SRS2168383	Cultivar
SRS2168384	Cultivar
SRS2168385	Cultivar
SRS2168386	Cultivar
SRS2168387	Cultivar
SRS2168388	Cultivar
SRS2168389	Cultivar
SRS2168390	Cultivar
SRS2168391	Cultivar
SRS2168392	Cultivar
SRS2168395	Cultivar
SRS2168393	Cultivar
SRS2168394	Cultivar
SRS2168396	Cultivar
SRS2168397	Cultivar
SRS2168398	Cultivar
SRS2168400	Cultivar
SRS2168399	Cultivar
SRS2168403	Cultivar
SRS2168401	Cultivar
SRS2168402	Cultivar
SRS2168404	Cultivar
SRS2168405	Cultivar
SRS2168406	Cultivar
SRS2168407	Cultivar
SRS2168408	Cultivar
SRS2168410	Cultivar
SRS2168409	Cultivar
SRS2168411	Cultivar
SRS2168412	Cultivar
SRS2168413	Cultivar
SRS2168414	Cultivar
SRS2168415	Cultivar
SRS2168416	Cultivar
SRS2168417	Cultivar
SRS2168418	Cultivar
SRS2168419	Cultivar
SRS2168420	Cultivar
SRS2168421	Cultivar
SRS2168422	Cultivar
SRS2168423	Cultivar
SRS2168425	Cultivar
SRS2168424	Cultivar
SRS2168426	Cultivar
SRS2168427	Cultivar
SRS2168429	Cultivar
SRS2168428	Cultivar
SRS2168430	Cultivar
SRS2168431	Cultivar
SRS2168434	Cultivar
SRS2168432	Cultivar
SRS2168433	Cultivar
SRS2168435	Cultivar
SRS2168436	Cultivar
SRS2168437	Cultivar
SRS2168440	Cultivar
SRS2168438	Cultivar
SRS2168439	Cultivar
SRS2168441	Cultivar
SRS2168442	Cultivar
SRS2168443	Cultivar
SRS2168444	Cultivar
SRS2168445	Cultivar
SRS2168493	Cultivar
SRS2168446	Cultivar
SRS2168447	Cultivar
SRS2168448	Cultivar
SRS2168449	Cultivar
SRS2168450	Cultivar
SRS2168451	Cultivar
SRS2168452	Cultivar
SRS2168454	Cultivar
SRS2168453	Cultivar
SRS2168455	Cultivar
SRS2168456	Cultivar
SRS2168457	Cultivar
SRS2168458	Cultivar
SRS2168459	Cultivar
SRS2168460	Cultivar
SRS2168463	Cultivar
SRS2168461	Cultivar
SRS2168462	Cultivar
SRS2168464	Cultivar
SRS2168465	Cultivar
SRS2168466	Cultivar
SRS2168467	Cultivar
SRS2168470	Cultivar
SRS2168468	Cultivar
SRS2168469	Cultivar
SRS2168471	Cultivar
SRS2168472	Cultivar
SRS2168473	Cultivar
SRS2168476	Cultivar
SRS2168475	Cultivar
SRS2168474	Cultivar
SRS2168477	Cultivar
SRS2168478	Cultivar
SRS2168479	Cultivar
SRS2168480	Cultivar
SRS2168483	Cultivar
SRS2168481	Cultivar
SRS2168482	Cultivar
SRS2168484	Cultivar
SRS2168485	Cultivar
SRS2168486	Cultivar
SRS2168489	Cultivar
SRS2168487	Cultivar
SRS2168488	Cultivar
SRS2168490	Cultivar
SRS2168491	Cultivar
SRS2168492	Cultivar
SRS2168494	Cultivar
SRS2168495	Cultivar
SRS2168496	Cultivar
SRS2168497	Cultivar
SRS2168498	Cultivar
SRS2168499	Cultivar
SRS2168501	Cultivar
SRS2168502	Cultivar
SRS2168500	Cultivar
SRS2168503	Cultivar
SRS2168505	Cultivar
SRS2168504	Cultivar
