SampleID,SampleID2,Name,Type1,Gene Pool,Country,State,City,Lat2,Lon2,Type
GB-0536,GB0536,,Wild/Landrace,,Colombia,Arauca,Saravena,6.95,-71.87,Lanrace1
GB-0429,GB0429,,Wild/Landrace,,Colombia,Santander,,6.70,-73.49,Lanrace2
GB-0594,GB0594,,Wild/Landrace,,Ecuador,Loja,Toma,-4.09,-79.66,Lanrace1
GB-0600,GB0600,,Wild/Landrace,,Ecuador,Loja,Arenillas,-4.09,-79.66,Lanrace1
GB-0307,GB0307,,Wild/Landrace,,Ecuador,Guayas,Guayaquil,-2.16,-79.93,Lanrace1
GB-0309,GB0309,,Wild/Landrace,,Ecuador,Guayas,,-2.19,-79.91,Lanrace1
GB-0313,GB0313,,Wild/Landrace,,Ecuador,Guayas,,-2.19,-79.91,Lanrace1
GB-0314,GB0314,,Wild/Landrace,,Ecuador,Guayas,,-2.19,-79.91,Lanrace1
GB-0394,GB0394,,Wild/Landrace,,Ecuador,Manabi,Bahia De Charaquez,-0.60,-80.43,Lanrace1
GB-0623,GB0623,,Wild/Landrace,,Ecuador,Puerto Bazueriza,,-0.90,-89.61,Wild
GB-0569,GB0569,,Wild/Landrace,,Peru,Loreto,Iquitos,-3.73,-73.24,Lanrace2
GB-0571,GB0571,,Wild/Landrace,,Peru,Loreto,"Iquitos, Manacamiri Village",-3.73,-73.24,Lanrace2
GB-0320,GB0320,,Wild/Landrace,,Peru,Tumbes,Tumbes,-3.56,-80.43,Lanrace1
GB-0333,GB0333,,Wild/Landrace,,Peru,Ilo valley,,-17.58,-71.21,Lanrace1
GB-0335,GB0335,,Wild/Landrace,,Peru,Arequipa,Mollendo,-17.02,-72.01,Lanrace1
GB-0358,GB0358,,Wild/Landrace,,Peru,Cuzco,Uchumago,-13.19,-72.17,Lanrace2
GB-0542,GB0542,,Wild/Landrace,,Peru,La Libertad,San Pedro De Loc,-7.43,-79.50,Wild
GB-0087,GB0087,,Wild/Landrace,,Peru,Loreto,San Bernardino on Rio Purus,-4.12,-74.43,Lanrace2
GB-1063,GB1063,Pardo  (From UC-8),Wild/Landrace,,Peru,Loreto,Iquitos,-3.73,-73.24,Lanrace2
GB-1067,GB1067,Copa De Vino (From UC-9),Wild/Landrace,,Peru,Loreto,Iquitos,-3.73,-73.24,Wild
olg2_2,olg2_2,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_3,olg2_3,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_4,olg2_4,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_5,olg2_5,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_6,olg2_6,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_8,olg2_8,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_10,olg2_10,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_12,olg2_12,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_13,olg2_13,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_14,olg2_14,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_15,olg2_15,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_17,olg2_17,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
olg2_18,olg2_18,,Wild/Landrace,,Peru,,,-9.17,-74.36,Wild
GB287,GB0287,,Wild/Landrace,,Belize,,,17.20,-88.71,Lanrace2
GB414,GB0414,,Wild/Landrace,,Peru,Tumbes,Aguas Verdes,-3.49,-80.26,Lanrace1
GB427,GB0427,Tanguis CN (W) 748-60,Wild/Landrace,,Brazil,Pernambuco,Recife,-8.06,-34.87,Lanrace2
GB618,GB0618,AS-828,Wild/Landrace,,Ecuador,Guayas,,-2.19,-79.91,Lanrace2
K101,K101,GB-0095,Wild/Landrace,,Bolivia,,,-16.71,-64.66,Lanrace2
light_brown,light_brown,,Wild/Landrace,,Chile,,,-35.24,-71.22,Lanrace1
