ID,UniqueID,ID_Name,SampleID,SampleName,PI,SRA ID,Species,Type,Latitude,Longitude,Country,State/Province,Place,Region,Races,BamFileName,Memo,,,
40,PL113004,P113ShuoM3,ShuoM3,Shuomian3,,SRR5279200,AD1,Cultivar,37.8957,114.9042,China,Hebei,Baoding,,,SRR5279200,,,,
41,PL113005,P113Zh571,Zh571,Zhong571,,SRR5279201,AD1,Cultivar,36.0976,114.3924,China,Henan,Anyang,,,SRR5279201,,,,
42,PL113006,P113JiM11,JiM11,Jimian11,,SRR5279202,AD1,Cultivar,37.8957,114.9042,China,Hebei,,,,SRR5279202,,,,
43,PL113007,P113ZhZhM2,ZhZhM2,Zhongzhimian2,,SRR5279203,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279203,,,,
44,PL113008,P113Zh9612,Zh9612,Zhongs9612,,SRR5279204,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279204,,,,
45,PL113009,P113XY9648,XY9648,Xinyan96-48,,SRR5279205,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279205,,,,
46,PL113010,P113GK50,GK50,GK50,,SRR5279206,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279206,,,,
47,PL113011,P113KHW164,KHW164,Kanghuangwei164,,SRR5279207,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279207,,,,
48,PL113012,P113CRI35,CRI35,CRI35,,SRR5279208,AD1,Cultivar,36.0976,114.3924,China,Henan,Anyang,,,SRR5279208,,,,
49,PL113013,P113Zh9807,Zh9807,Zhong9807,,SRR5279209,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279209,,,,
50,PL113014,P113JinM20,JinM20,Jinmian20,,SRR5279210,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279210,,,,
51,PL113015,P113JinM33,JinM33,Jinmian33,,SRR5279211,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279211,,,,
52,PL113016,P113YuM11,YuM11,Yumian11,,SRR5279212,AD1,Cultivar,34.2904,113.3824,China,Henan,,,,SRR5279212,,,,
53,PL113017,P113LuMY16,LuMY16,Lumianyan16,,SRR5279213,AD1,Cultivar,39.9138,116.3636,China,,,,,SRR5279213,,,,
54,PL113018,P113YM2067,YM2067,Yumian2067,,SRR5279214,AD1,Cultivar,34.2904,113.3824,China,Henan,,,,SRR5279214,,,,
55,PL113019,P113XT6871,XT6871,Xingtai6871,,SRR5279215,AD1,Cultivar,37.8957,114.9042,China,Hebei,Xingtai,,,SRR5279215,,,,
56,PL113020,P113Ug4,Ug4,Uganda4,,SRR5279216,AD1,Cultivar,1.3733,32.2903,Uganda,,,,,SRR5279216,,,,
57,PL114005,P114SA0592,SA0592,G. h. Sealand 883,PI528875,SAMN04998802,AD1,Cultivar,34.1954,-79.7626,United States,South Carolina,Florence,Eastern,,SAMN04998802,,SA-0592,Sealand 883 (G. barb. X G. hir.),
