ID,UniqueID,ID_Name,SampleID,SampleName,PI,SRA ID,Species,Type,Latitude,Longitude,Country,State/Province,Place,Region,Races,BamFileName,Memo,,,
169,PL115096,P115HAU096,HAU096,Wankangmian9,,SRR4006734,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006734,,,,
170,PL115097,P115HAU097,HAU097,Zhongmiansuo10,,SRR4006735,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006735,,,,
171,PL115098,P115HAU098,HAU098,Zhongmiansuo13,,SRR4006737,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006737,,,,
172,PL115099,P115HAU099,HAU099,Zhongmiansuo19,,SRR4006738,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006738,,,,
173,PL115100,P115HAU100,HAU100,Zhongmiansuo20,,SRR4006740,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006740,,,,
174,PL115101,P115HAU101,HAU101,Ganmian10,,SRR4013321,AD1,Cultivar,27.0875,114.9042,China,Jiangxi,,YangtzeRiver,,SRR4013321,,,,
175,PL115102,P115HAU102,HAU102,Zhongmiansuo27,,SRR4013322,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013322,,,,
176,PL115103,P115HAU103,HAU103,Zhongmiansuo30,,SRR4013323,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013323,,,,
177,PL115104,P115HAU104,HAU104,Zhongmiansuo31,,SRR4013324,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013324,,,,
178,PL115105,P115HAU105,HAU105,Zhongmiansuo32,,SRR4013325,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013325,,,,
179,PL115106,P115HAU106,HAU106,Zhongmiansuo34,,SRR4013326,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013326,,,,
180,PL115107,P115HAU107,HAU107,Zhongmiansuo35,,SRR4013327,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013327,,,,
181,PL115108,P115HAU108,HAU108,Zhongmiansuo43,,SRR4013328,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013328,,,,
182,PL115109,P115HAU109,HAU109,Zhongmiansuo45,,SRR4013329,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013329,,,,
183,PL115110,P115HAU110,HAU110,Zhongmiansuo49,,SRR4013330,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013330,,,,
184,PL115111,P115HAU111,HAU111,Zhongmiansuo69,,SRR4013614,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013614,,,,
185,PL115112,P115HAU112,HAU112,86-4,,SRR4013615,AD1,Cultivar,39.9138,116.3636,China,Beijing,,YellowRiver,,SRR4013615,,,,
186,PL115113,P115HAU113,HAU113,108_,,SRR4013616,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4013616,,,,
187,PL115114,P115HAU114,HAU114,52-128,,SRR4013617,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,YangtzeRiver,,SRR4013617,,,,
188,PL115115,P115HAU115,HAU115,57-681,,SRR4013618,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,YangtzeRiver,,SRR4013618,,,,
189,PL115116,P115HAU116,HAU116,611Bo,,SRR4013619,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4013619,,,,
190,PL115117,P115HU117,HU117,NC20B,,SRR4013620,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4013620,,,,
191,PL115118,P115HAU118,HAU118,sGKmianxiang69,,SRR4013621,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013621,,,,
192,PL115119,P115HAU119,HAU119,Bawangbian,,SRR4013622,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4013622,,,,
193,PL115120,P115HAU120,HAU120,Beinong1,,SRR4013623,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013623,,,,
194,PL115121,P115HAU121,HAU121,Binchuan373,,SRR4013624,AD1,Cultivar,24.4753,101.3431,China,Yunnan,,South,,SRR4013624,,,,
195,PL115122,P115HAU122,HAU122,Binmian1,,SRR4013625,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4013625,,,,
196,PL115123,P115HAU123,HAU123,Bomian2,,SRR4013626,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4013626,,,,
197,PL115124,P115HAU124,HAU124,Changrong1,,SRR4013627,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4013627,,,,
198,PL115125,P115HAU125,HAU125,Changkangmian,,SRR4013628,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4013628,,,,
199,PL115126,P115HAU126,HAU126,Zhaoyang1,,SRR4013629,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4013629,,,,
200,PL115127,P115HAU127,HAU127,Chuanmian56,,SRR4013630,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,YangtzeRiver,,SRR4013630,,,,
201,PL115128,P115HAU128,HAU128,Chuanmian239,,SRR4013631,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,YangtzeRiver,,SRR4013631,,,,
202,PL115129,P115HAU129,HAU129,Dafeng30,,SRR4013632,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4013632,,,,
203,PL115130,P115HU130,HU130,Deltapine14,PI528970 ,SRR4013633,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4013633,,,,
204,PL115131,P115HU131,HU131,Deltapine16,PI529251,SRR4013850,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4013850,,,,
205,PL115132,P115HAU132,HAU132,Dexiamian1,,SRR4013875,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4013875,,,,
206,PL115133,P115HU133,HU133,Dezimian531,,SRR4013876,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4013876,,,,
207,PL115134,P115HAU134,HAU134,Dunmian1,,SRR4013885,AD1,Cultivar,35.7518,104.2861,China,Gansu,,XinJiang,,SRR4013885,,,,
208,PL115135,P115HAU135,HAU135,Dunmian2,,SRR4013886,AD1,Cultivar,35.7518,104.2861,China,Gansu,,XinJiang,,SRR4013886,,,,
209,PL115136,P115HAU136,HAU136,Fumian289,,SRR4013887,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013887,,,,
210,PL115137,P115HAU137,HAU137,Ganmian1,,SRR4013888,AD1,Cultivar,27.0875,114.9042,China,Jiangxi,,YangtzeRiver,,SRR4013888,,,,
211,PL115138,P115HAU138,HAU138,Ganmian2,,SRR4013889,AD1,Cultivar,27.0875,114.9042,China,Jiangxi,,YangtzeRiver,,SRR4013889,,,,
212,PL115139,P115HAU139,HAU139,Ganmian13,,SRR4013890,AD1,Cultivar,27.0875,114.9042,China,Jiangxi,,YangtzeRiver,,SRR4013890,,,,
213,PL115140,P115HAU140,HAU140,Guannong1,,SRR4013891,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4013891,,,,
214,PL115141,P115HU141,HU141,Guangyedaizimian,,SRR4013892,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4013892,,,,
215,PL115142,P115HAU142,HAU142,Guoxinmian3,,SRR4013893,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013893,,,,
216,PL115143,P115HAU143,HAU143,Han7860,,SRR4013894,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013894,,,,
217,PL115144,P115HAU144,HAU144,Handan885,,SRR4013895,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013895,,,,
218,PL115145,P115HAU145,HAU145,Henan79,,SRR4013896,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4013896,,,,
219,PL115146,P115HAU146,HAU146,Huadong6,,SRR4013897,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4013897,,,,
220,PL115147,P115HAU147,HAU147,Ji688,,SRR4013898,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013898,,,,
221,PL115148,P115HAU148,HAU148,Jimian958,,SRR4013899,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013899,,,,
222,PL115149,P115HAU149,HAU149,Jifeng554,,SRR4013900,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013900,,,,
223,PL115150,P115HAU150,HAU150,Jimian1,,SRR4013901,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4013901,,,,
224,PL115151,P115HAU151,HAU151,Jimian6,,SRR4014009,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014009,,,,
225,PL115152,P115HAU152,HAU152,Jimian7,,SRR4014010,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014010,,,,
226,PL115153,P115HAU153,HAU153,Jimian15,,SRR4014011,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014011,,,,
227,PL115154,P115HAU154,HAU154,Jimian19,,SRR4014012,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014012,,,,
228,PL115155,P115HAU155,HAU155,Jimian20,,SRR4014013,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014013,,,,
229,PL115156,P115HAU156,HAU156,Jimian21,,SRR4014014,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014014,,,,
230,PL115157,P115HAU157,HAU157,Jimian28,,SRR4014015,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014015,,,,
231,PL115158,P115HAU158,HAU158,Jimian169,,SRR4014016,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4014016,,,,
232,PL115159,P115HAU159,HAU159,Jinzhong169,,SRR4014017,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4014017,,,,
233,PL115160,P115HAU160,HAU160,Jiangsumian1,,SRR4014018,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4014018,,,,
234,PL115161,P115HAU161,HAU161,Jiangsumian3,,SRR4014021,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4014021,,,,
235,PL115163,P115HAU163,HAU163,Jinmian2,,SRR4014023,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4014023,,,,
236,PL115165,P115HAU165,HAU165,Jinmian5,,SRR4014025,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4014025,,,,
237,PL115167,P115HAU167,HAU167,Jinmian9,,SRR4014027,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4014027,,,,
238,PL115168,P115HAU168,HAU168,Jinmian16,,SRR4014028,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4014028,,,,
239,PL115169,P115HAU169,HAU169,Jinmian17,,SRR4014030,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4014030,,,,
240,PL115170,P115HAU170,HAU170,Jinmian21,,SRR4014037,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4014037,,,,
241,PL115171,P115HAU171,HAU171,Jinmian24,,SRR4017354,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4017354,,,,
242,PL115172,P115HAU172,HAU172,Jinmian25,,SRR4017355,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4017355,,,,
243,PL115173,P115HAU173,HAU173,Jinmian26,,SRR4017356,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4017356,,,,
244,PL115174,P115HAU174,HAU174,Jinmian29,,SRR4017357,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4017357,,,,
245,PL115175,P115HAU175,HAU175,Jinmian38,,SRR4018441,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018441,,,,
246,PL115176,P115HAU176,HAU176,Keyi181,,SRR4018442,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4018442,,,,
247,PL115177,P115HAU177,HAU177,KK1543,,SRR4018443,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4018443,,,,
248,PL115178,P115HAU178,HAU178,Lixian72,,SRR4018444,AD1,Cultivar,27.6253,111.8569,China,Hunan,,YangtzeRiver,,SRR4018444,,,,
249,PL115179,P115HAU179,HAU179,Liaomian1,,SRR4018445,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4018445,,,,
250,PL115180,P115HAU180,HAU180,Liaomian3,,SRR4018452,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4018452,,,,
251,PL115181,P115HAU181,HAU181,Liaomian6,,SRR4018453,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4018453,,,,
252,PL115182,P115HAU182,HAU182,Liaomian8,,SRR4018454,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4018454,,,,
253,PL115183,P115HAU183,HAU183,Liaomian12,,SRR4018455,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4018455,,,,
254,PL115184,P115HAU184,HAU184,Liaomian18,,SRR4018456,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4018456,,,,
255,PL115185,P115HAU185,HAU185,Liaoyangduanjie,,SRR4018457,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4018457,,,,
256,PL115186,P115HAU186,HAU186,Lu742,,SRR4018459,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018459,,,,
257,PL115187,P115HAU187,HAU187,LuK638,,SRR4018460,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018460,,,,
258,PL115188,P115HAU188,HAU188,Lumian5,,SRR4018461,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018461,,,,
259,PL115189,P115HAU189,HAU189,Lumian12,,SRR4018462,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018462,,,,
260,PL115190,P115HAU190,HAU190,Lumian14,,SRR4018463,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018463,,,,
261,PL115191,P115HAU191,HAU191,Lumian22,,SRR4018519,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018519,,,,
262,PL115192,P115HAU192,HAU192,Lumian28,,SRR4018522,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018522,,,,
263,PL115193,P115HAU193,HAU193,Lumian32,,SRR4018525,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018525,,,,
264,PL115194,P115HAU194,HAU194,Lumianyan17,,SRR4018526,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018526,,,,
265,PL115195,P115HAU195,HAU195,Lumianyan32,,SRR4018527,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018527,,,,
266,PL115196,P115HAU196,HAU196,Luodiantiezi,,SRR4018528,AD1,Cultivar,26.8430,107.2903,China,Guizhou,,South,,SRR4018528,,,,
267,PL115197,P115HAU197,HAU197,Ningmian1,,SRR4018529,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018529,,,,
268,PL115198,P115HAU198,HAU198,Ningmian7,,SRR4018530,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018530,,,,
269,PL115199,P115HAU199,HAU199,Ningmian12,,SRR4018531,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018531,,,,
270,PL115200,P115HAU200,HAU200,Nongda94-7,,SRR4018533,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4018533,,,,
271,PL115201,P115HAU201,HAU201,Nongdamian8,,SRR4018534,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4018534,,,,
272,PL115202,P115HAU202,HAU202,Nongkeng5,,SRR4018535,AD1,Cultivar,42.8246,89.0396,China,Xinjiang,,XinJiang,,SRR4018535,,,,
273,PL115203,P115HAU203,HAU203,Qinli514,,SRR4018536,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4018536,,,,
274,PL115204,P115HAU204,HAU204,Qinyuan4,,SRR4018537,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018537,,,,
275,PL115205,P115HAU205,HAU205,Shangnongfengkangmian6,,SRR4018538,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4018538,,,,
276,PL115206,P115HAU206,HAU206,Shan2234,,SRR4018539,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018539,,,,
277,PL115207,P115HAU207,HAU207,Shan3619,,SRR4018540,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018540,,,,
278,PL115208,P115HAU208,HAU208,Shanmian1,,SRR4018541,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018541,,,,
279,PL115209,P115HAU209,HAU209,Shanmian4,,SRR4018542,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018542,,,,
280,PL115210,P115HAU210,HAU210,Shanzao2786,,SRR4018543,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018543,,,,
281,PL115211,P115HAU211,HAU211,Shangqiu24,,SRR4018544,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018544,,,,
282,PL115212,P115HAU212,HAU212,C1470,,SRR4018546,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4018546,,,,
283,PL115213,P115HU213,HU213,Stoneville2B,PI528654,SRR4018547,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4018547,,,,
284,PL115214,P115HAU214,HAU214,Simian4,,SRR4018548,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018548,,,,
285,PL115215,P115HAU215,HAU215,Sumian11,,SRR4018549,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018549,,,,
286,PL115216,P115HAU216,HAU216,Sumian20,,SRR4018550,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018550,,,,
287,PL115218,P115HAU218,HAU218,Sumian22,,SRR4018552,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018552,,,,
288,PL115219,P115HAU219,HAU219,Wanmian17,,SRR4018553,AD1,Cultivar,30.6007,117.9249,China,Anhui,,YangtzeRiver,,SRR4018553,,,,
289,PL115220,P115HAU220,HAU220,Xiangmian10,,SRR4018554,AD1,Cultivar,27.6253,111.8569,China,Hunan,,YangtzeRiver,,SRR4018554,,,,
290,PL115221,P115HAU221,HAU221,Xiangmian11,,SRR4018555,AD1,Cultivar,27.6253,111.8569,China,Hunan,,YangtzeRiver,,SRR4018555,,,,
291,PL115222,P115HAU222,HAU222,Xiezuo2,,SRR4018556,AD1,Cultivar,29.1416,119.7889,China,Zhejiang,,YangtzeRiver,,SRR4018556,,,,
292,PL115223,P115HAU223,HAU223,Xinlu201,,SRR4018557,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018557,,,,
293,PL115224,P115HAU224,HAU224,Xinluzao4,,SRR4018558,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018558,,,,
294,PL115225,P115HAU225,HAU225,Xinluzao5,,SRR4018559,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018559,,,,
295,PL115226,P115HAU226,HAU226,Xinluzao19,,SRR4018560,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018560,,,,
296,PL115227,P115HAU227,HAU227,Xinluzao30,,SRR4018561,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018561,,,,
297,PL115228,P115HAU228,HAU228,Xinluzao31,,SRR4018562,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018562,,,,
298,PL115229,P115HAU229,HAU229,Xinluzao36,,SRR4018563,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018563,,,,
299,PL115231,P115HAU231,HAU231,Xinluzhong14,,SRR4018565,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018565,,,,
300,PL115232,P115HAU232,HAU232,Xinluzhong18,,SRR4018566,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018566,,,,
301,PL115234,P115HAU234,HAU234,Xumian18,,SRR4018580,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018580,,,,
302,PL115235,P115HAU235,HAU235,Xumian219,,SRR4018581,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018581,,,,
303,PL115236,P115HAU236,HAU236,Xuzhou514,,SRR4018582,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018582,,,,
304,PL115237,P115HAU237,HAU237,Yanmian1,,SRR4018583,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,YangtzeRiver,,SRR4018583,,,,
305,PL115238,P115HAU238,HAU238,Yishan8,,SRR4018584,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018584,,,,
306,PL115239,P115HAU239,HAU239,Yu79-10,,SRR4018585,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018585,,,,
307,PL115240,P115HAU240,HAU240,Yukang1,,SRR4018586,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018586,,,,
308,PL115241,P115HAU241,HAU241,Yumian1,,SRR4018587,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018587,,,,
309,PL115242,P115HAU242,HAU242,Yumian5,,SRR4018588,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018588,,,,
310,PL115243,P115HAU243,HAU243,Yumian8,,SRR4018589,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018589,,,,
311,PL115244,P115HAU244,HAU244,Yumian14,,SRR4018590,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018590,,,,
312,PL115245,P115HAU245,HAU245,Yumian20,,SRR4018591,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018591,,,,
313,PL115246,P115HAU246,HAU246,Yuwu19,,SRR4018592,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018592,,,,
314,PL115247,P115HAU247,HAU247,Yun1729,,SRR4018593,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018593,,,,
315,PL115248,P115HAU248,HAU248,Yun87-509,,SRR4018594,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4018594,,,,
316,PL115249,P115HAU249,HAU249,Zhemian11,,SRR4018595,AD1,Cultivar,29.1416,119.7889,China,Zhejiang,,YangtzeRiver,,SRR4018595,,,,
317,PL115250,P115HAU250,HAU250,Zhengnongmian4,,SRR4018596,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018596,,,,
318,PL115251,P115HAU251,HAU251,Xinluzao7,,SRR4018945,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018945,,,,
319,PL115252,P115HAU252,HAU252,Xinluzao15,,SRR4018946,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018946,,,,
320,PL115253,P115HAU253,HAU253,Xinluzao22,,SRR4018953,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018953,,,,
321,PL115254,P115HAU254,HAU254,Xinluzao25,,SRR4018954,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018954,,,,
322,PL115255,P115HAU255,HAU255,Xinluzao26,,SRR4018955,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018955,,,,
323,PL115256,P115HAU256,HAU256,Xinluzao41,,SRR4018956,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018956,,,,
324,PL115257,P115HAU257,HAU257,Xinluzao46,,SRR4018957,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018957,,,,
325,PL115258,P115HAU258,HAU258,Xinluzao48,,SRR4018958,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4018958,,,,
326,PL115259,P115HAU259,HAU259,Zhongzhimian2,,SRR4018959,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018959,,,,
327,PL115260,P115HAU260,HAU260,Emian22,,SRR4018960,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4018960,,,,
328,PL115261,P115HAU261,HAU261,Xinluzhong13,,SRR4018961,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018961,,,,
329,PL115262,P115HAU262,HAU262,Xinluzhong8,,SRR4018963,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018963,,,,
330,PL115263,P115HAU263,HAU263,Xinluzhong12,,SRR4018964,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018964,,,,
331,PL115264,P115HAU264,HAU264,Xinluzhong20,,SRR4018965,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018965,,,,
332,PL115265,P115HAU265,HAU265,Xinluzhong40,,SRR4018966,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018966,,,,
333,PL115266,P115HAU266,HAU266,Xinluzhong41,,SRR4018967,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4018967,,,,
334,PL115267,P115HAU267,HAU267,Jimian14,,SRR4018968,AD1,Cultivar,39.9138,116.3636,China,China,,YellowRiver,,SRR4018968,,,,
335,PL115268,P115HU268,HU268,TM-1,,SRR4018969,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4018969,,,,
336,PL115269,P115HAU269,HAU269,Xuzhou142,,SRR4018970,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018970,,,,
337,PL115270,P115HAU270,HAU270,Xuzhou142f1,,SRR4018971,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018971,,,,
338,PL115271,P115HU271,HU271,T586,,SRR4018972,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4018972,,,,
339,PL115272,P115HAU272,HAU272,Li1,,SRR4018973,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4018973,,,,
