SortID,ID,Type,Latitude,Longitude,Public
219,B12TX0752,Landrace2,18.77,-99.35,No
6,B12TX2093,Wild,18.81,-89.40,No
7,B12TX2092,Wild,18.81,-89.40,No
9,B12TX2095,Wild,18.81,-89.40,No
188,B12TX1107,Landrace2,18.81,-89.40,No
196,B12TX1748,Landrace2,18.81,-89.40,No
199,B12TX1106,Landrace2,18.81,-89.40,No
212,B12TX2096,Landrace2,18.81,-89.40,No
217,B12TX1108,Landrace2,18.81,-89.40,No
58,B12TX1596,Landrace1,18.84,-72.10,No
170,B12TX1110,Landrace2,18.88,-96.92,No
222,B12TX0006,Landrace2,18.91,-98.43,No
59,B12TX1833,Landrace1,18.96,-72.72,No
172,B12TX1349,Landrace2,19.11,-104.34,No
173,B12TX2329,Landrace2,19.11,-104.34,No
140,B12TX2330,Landrace2,19.13,-104.34,No
177,B12TX1226,Landrace2,19.22,-96.37,No
209,B12TX1111,Landrace2,19.26,-96.58,No
164,B12TX2252,Landrace2,19.28,-81.30,No
203,B12TX2254,Landrace2,19.30,-81.11,No
163,B12TX2253,Landrace2,19.31,-81.18,No
169,B12TX1055,Landrace2,19.34,-96.22,No
161,B12TX2249,Landrace2,19.38,-81.39,No
180,B12TX1228,Landrace2,19.39,-96.64,No
176,B12TX0959,Landrace2,19.40,-96.36,No
171,B12TX1113,Landrace2,19.41,-102.02,No
215,B12TX1120,Landrace2,19.45,-96.40,No
174,B12TX1292,Landrace2,19.46,-100.49,No
70,B12TX2003,Landrace1,19.70,-89.99,No
184,B12TX2081,Landrace2,19.77,-90.22,No
11,P124TX2094,Wild,19.81,-90.50,No
157,B12TX0756,Landrace2,20.45,-97.38,No
395,SA-3256,Cultivar,20.59,78.96,No
404,SA-3390,Cultivar,20.59,78.96,No
182,B12TX1975,Landrace2,20.63,-87.07,No
191,B12TX1988,Landrace2,20.71,-88.81,No
193,B12TX1990,Landrace2,20.93,-89.02,No
71,B12TX0674,Landrace1,20.97,-89.59,No
77,B12TX1236,Landrace1,20.97,-89.59,No
179,B12TX0665,Landrace2,20.97,-89.59,No
181,B12TX0672,Landrace2,20.97,-89.59,No
186,B12TX0481,Landrace2,20.97,-89.59,No
187,B12TX0664,Landrace2,20.97,-89.59,No
192,B12TX0670,Landrace2,20.97,-89.59,No
195,B12TX0662,Landrace2,20.97,-89.59,No
198,B12TX0480,Landrace2,20.97,-89.59,No
210,B12TX0663,Landrace2,20.97,-89.59,No
216,B12TX0668,Landrace2,20.97,-89.59,No
218,B12TX0487,Landrace2,20.97,-89.59,No
211,B12TX2089,Landrace2,21.10,-89.47,No
201,B12TX1046,Landrace2,21.14,-89.52,No
189,B12TX1981,Landrace2,21.15,-88.15,No
4,B12TX2091,Wild,21.21,-89.31,No
5,B12TX2090,Wild,21.21,-89.31,No
197,B12TX1439,Landrace2,21.25,-89.04,No
8,B12TX1996,Wild,21.36,-89.12,No
190,B12TX1982,Landrace2,21.39,-88.15,No
10,P121TX2094,Wild,21.55,-88.40,No
42,B12TX0902,Landrace1,21.80,-79.98,No
135,B12TX0012,Landrace2,22.15,-102.41,No
228,B12TX1453,Landrace2,22.16,-100.99,No
167,B12TX1182,Landrace2,22.88,-109.91,No
168,B12TX1115,Landrace2,23.25,-106.41,No
165,B12TX1257,Landrace2,23.45,-110.23,No
166,B12TX1183,Landrace2,23.45,-110.23,No
139,B12TX0009,Landrace2,23.63,-102.55,No
321,SA-0815,Cultivar,23.63,-102.55,No
322,SA-0825,Cultivar,23.63,-102.55,No
394,SA-3251,Cultivar,23.63,-102.55,No
396,SA-3284,Cultivar,23.63,-102.55,No
406,SA-3413,Cultivar,23.68,90.36,No
408,SA-3452,Cultivar,23.68,90.36,No
178,B12TX1459,Landrace2,24.27,-98.84,No
580,P115HAU121,Cultivar,24.48,101.34,Yes
18,B12LKSP,Wild,24.82,-80.82,No
19,B12BPS1206,Wild,24.87,-80.71,No
292,DIV_213,Cultivar,25.43,68.53,No
162,B12BPS1207,Landrace2,25.75,-80.55,No
652,P115HAU196,Cultivar,26.84,107.29,Yes
541,P115HAU082,Cultivar,27.09,114.90,Yes
560,P115HAU101,Cultivar,27.09,114.90,Yes
596,P115HAU137,Cultivar,27.09,114.90,Yes
597,P115HAU138,Cultivar,27.09,114.90,Yes
598,P115HAU139,Cultivar,27.09,114.90,Yes
343,SA-1212,Cultivar,27.48,-109.93,No
462,P115HAU003,Cultivar,27.63,111.86,Yes
542,P115HAU083,Cultivar,27.63,111.86,Yes
634,P115HAU178,Cultivar,27.63,111.86,Yes
675,P115HAU220,Cultivar,27.63,111.86,Yes
676,P115HAU221,Cultivar,27.63,111.86,Yes
308,SA-0084,Cultivar,27.66,-81.52,No
305,SA-0002,Cultivar,28.03,1.66,No
677,P115HAU222,Cultivar,29.14,119.79,Yes
702,P115HAU249,Cultivar,29.14,119.79,Yes
461,P115HAU002,Cultivar,30.26,102.81,Yes
468,P115HAU009,Cultivar,30.26,102.81,Yes
573,P115HAU114,Cultivar,30.26,102.81,Yes
574,P115HAU115,Cultivar,30.26,102.81,Yes
586,P115HAU127,Cultivar,30.26,102.81,Yes
587,P115HAU128,Cultivar,30.26,102.81,Yes
690,P115HAU237,Cultivar,30.26,102.81,Yes
438,P113CM47,Cultivar,30.26,102.81,Yes
345,SA-1232,Cultivar,30.38,69.35,No
346,SA-1237,Cultivar,30.38,69.35,No
397,SA-3308,Cultivar,30.38,69.35,No
245,DIV_141,Cultivar,30.46,-91.14,No
249,DIV_178,Cultivar,30.46,-91.14,No
256,DIV_232,Cultivar,30.46,-91.14,No
271,DIV_322,Cultivar,30.46,-91.14,No
276,DIV_366,Cultivar,30.46,-91.14,No
279,DIV_106,Cultivar,30.46,-91.14,No
317,SA-0369,Cultivar,30.46,-91.14,No
323,SA-0857,Cultivar,30.46,-91.14,No
324,SA-0881,Cultivar,30.46,-91.14,No
325,SA-0883,Cultivar,30.46,-91.14,No
326,SA-0892,Cultivar,30.46,-91.14,No
543,P115HAU084,Cultivar,30.60,117.92,Yes
674,P115HAU219,Cultivar,30.60,117.92,Yes
411,SA-3493,Cultivar,30.62,-96.36,No
384,SA-2401,Cultivar,30.62,-96.34,No
391,SA-2910,Cultivar,30.62,-96.34,No
392,SA-3137,Cultivar,30.62,-96.34,No
232,DIV_002,Cultivar,30.63,-96.33,No
239,DIV_063,Cultivar,30.63,-96.33,No
240,DIV_066,Cultivar,30.63,-96.33,No
242,DIV_096,Cultivar,30.63,-96.33,No
